AngleRoll,AnglePitch,Tempo
-29.642023,41.652157,27584
-36.016369,36.792870,27602
-40.721096,32.398705,27620
-41.934456,32.165146,27639
-40.245785,31.131002,27657
-40.849602,31.305983,27687
-41.140587,31.493521,27705
-38.859467,33.184708,27722
-35.946030,36.513691,27740
-33.529400,37.356606,27758
-37.369171,35.061375,27788
-37.999668,34.872253,27806
-37.984234,34.717606,27824
-38.804066,33.590000,27842
-40.398590,33.337677,27860
-39.184975,33.805893,27890
-36.593945,35.048313,27908
-37.175945,34.771297,27926
-39.174370,33.408276,27944
-38.952820,33.344238,27962
-36.412262,35.552368,27992
-36.901405,35.644745,28010
-38.622478,34.362465,28028
-38.897949,34.017929,28046
-37.370308,35.582451,28065
-36.812721,35.524452,28093
-38.945450,33.704636,28111
-40.432972,32.374054,28129
-40.413769,32.484013,28147
-39.189480,32.817245,28165
-38.732101,33.660755,28183
-38.318306,34.063438,28205
-37.441109,36.220242,28219
-34.359474,37.626499,28237
-35.649155,36.026291,28255
-37.714760,35.380325,28273
-38.942974,33.821404,28302
-38.893654,33.175282,28320
-40.335854,31.978413,28338
-41.932697,30.777920,28361
-41.302761,31.412249,28374
-38.691257,33.825417,28392
-34.053982,38.380421,28409
-33.079197,38.810078,28432
-37.689301,35.810822,28453
-38.533730,34.973850,28475
-38.533836,33.591541,28513
-41.155025,31.008522,28555
-38.142193,33.914902,28576
-35.396610,36.971619,28606
-35.252407,36.965237,28624
-36.537479,36.022057,28646
-37.941406,34.800968,28678
-39.597702,33.189140,28698
-40.838867,31.856316,28714
-40.359013,32.546558,28727
-38.606064,33.294201,28745
-38.743782,33.655186,28775
-38.289700,34.588398,28798
-35.791584,36.615631,28811
-34.427666,37.225410,28828
-36.345795,35.967514,28846
-38.964691,34.054920,28870
-39.491066,33.114544,28882
-38.499092,33.651745,28913
-38.809349,33.737373,28930
-39.761635,32.911091,28949
-39.695145,33.012974,28971
-38.147179,34.286888,28984
-36.434166,35.540447,29004
-36.619629,35.965393,29021
-37.217224,35.439865,29039
-37.107403,35.332016,29057
-37.342506,35.634636,29080
-37.508598,34.889244,29094
-38.375347,33.974499,29112
-39.220501,32.910233,29129
-38.836197,33.155563,29147
-38.513412,33.535473,29168
-39.164810,33.512684,29195
-38.424198,39.784389,29213
-14.027673,48.293064,29232
-19.284021,38.753975,29249
-43.218735,21.809719,29273
-60.497845,13.396136,29289
-63.405518,10.232621,29304
-68.049004,-0.825371,29325
-66.884476,9.281471,29339
-56.229179,12.622802,29357
-45.086842,28.735283,29380
-25.249134,45.017830,29392
-28.757792,39.083302,29427
-21.563210,47.210091,29439
-30.617012,43.956459,29457
-36.873001,43.260586,29483
-28.678667,52.194748,29493
-11.131804,64.152412,29512
-12.922097,72.050537,29530
-19.686518,69.426811,29548
-29.559452,59.950584,29566
-30.179045,59.713463,29590
-28.260212,61.697987,29615
-12.800803,76.996223,29632
-9.371666,73.383919,29657
-7.387530,66.936279,29672
-22.587355,62.349472,29697
-0.751295,72.507278,29727
-2.290863,72.042328,29745
-15.505567,68.122528,29763
-30.426170,55.281490,29788
-31.390608,50.548431,29800
-30.786169,55.013275,29827
-20.308138,68.116089,29836
2.701026,75.091660,29855
8.642700,66.570129,29872
5.054985,67.121208,29890
0.325037,62.656567,29908
-19.304489,50.882259,29938
-22.152328,53.434608,29961
-7.948813,61.636986,29975
5.957176,68.873360,30003
14.285237,57.750019,30031
18.325657,52.461868,30052
22.819427,51.335884,30074
19.930187,48.114384,30087
16.959761,54.561863,30105
22.678236,56.057713,30129
32.232243,47.415730,30142
36.299381,42.292728,30159
31.934835,43.429043,30187
45.074081,32.600636,30207
52.016476,27.395113,30226
51.370750,25.074373,30244
58.435059,17.027475,30262
61.194775,-15.591326,30280
45.877647,-37.759571,30308
40.603466,-40.543766,30316
48.230644,-19.385948,30350
42.395012,-13.915992,30364
30.769592,-15.292699,30381
13.233733,-16.804117,30404
9.542622,-21.140688,30417
13.508958,-24.036177,30437
13.922493,-27.358423,30452
7.632497,-28.944256,30470
0.793283,-27.343061,30488
1.849057,-19.049271,30506
9.560060,-7.707551,30533
14.222059,-2.914051,30543
5.193122,-12.265286,30561
-10.018719,-26.563896,30579
-17.062502,-33.593884,30597
-14.131101,-34.776730,30615
-6.805103,-31.335249,30633
-3.840257,-25.126093,30652
-3.747546,-19.200495,30669
0.160484,-18.170277,30687
0.081266,-21.363441,30711
-0.478049,-28.110746,30724
6.326238,-32.574482,30753
9.912194,-29.814234,30771
8.835685,-27.075386,30789
6.006921,-24.990856,30812
1.846402,-25.657709,30825
-6.147341,-28.349874,30844
-10.598626,-30.090567,30863
-3.570987,-28.443289,30880
3.803313,-27.332100,30898
-0.234539,-34.228733,30916
-11.235584,-41.428112,30938
-22.452164,-40.145252,30964
-25.040983,-33.681171,30982
-22.322304,-28.778540,31000
-15.235969,-28.629999,31019
-12.230023,-32.446144,31046
-12.484305,-37.111614,31056
-13.215760,-38.907562,31073
-13.176199,-35.964439,31091
-13.129568,-32.159557,31115
-11.448266,-26.891142,31148
-3.880928,-28.163721,31158
2.346606,-27.553352,31175
8.280158,-28.200409,31199
11.426168,-26.811281,31216
12.299758,-21.892258,31230
12.288588,-12.460467,31256
13.483974,-4.462910,31266
16.747923,4.009583,31284
22.028309,9.884228,31305
28.274870,11.024291,31326
38.015697,10.270211,31353
38.425888,11.299947,31368
29.795334,14.611500,31390
18.274261,18.171648,31404
11.045671,33.910213,31426
14.533695,46.136139,31442
29.161728,44.916367,31469
34.609661,38.396019,31487
30.415640,37.603462,31505
19.325377,43.755524,31529
3.768035,55.955372,31542
1.116436,67.139633,31572
-0.207425,68.984840,31590
4.527634,70.625870,31611
8.337755,70.255203,31638
7.554697,74.185997,31664
-16.027691,68.885124,31692
-17.324709,70.368019,31706
-4.691141,82.892357,31722
3.734162,86.066261,31752
-12.181645,77.804153,31781
-33.760998,55.192684,31799
-25.431431,62.827866,31817
-10.299519,78.050674,31841
-4.009201,85.107056,31903
-42.207344,47.141399,31920
-45.120289,38.639172,31939
-24.380840,60.797733,31954
-2.763162,82.755943,31984
-0.126024,83.627838,32002
-7.342657,81.093163,32021
-21.464083,68.344704,32042
-36.271847,53.583199,32056
-28.366226,60.500767,32085
-11.088807,73.706215,32103
-2.183409,75.792450,32121
-3.605448,73.485466,32144
-8.119932,73.069832,32157
-11.883565,72.242813,32176
-16.748915,69.299309,32193
-21.821253,65.201050,32212
-25.211536,62.302742,32230
-22.135517,65.318924,32248
-14.235465,70.250664,32277
-6.484851,70.303566,32295
-8.836536,68.881599,32313
-12.510385,68.111893,32331
-17.276854,66.246773,32349
-20.837687,64.765251,32382
-21.735628,64.014633,32398
-24.935863,59.110855,32415
-25.058409,60.076523,32433
-16.238432,67.908379,32459
-9.561415,74.017662,32469
-14.692996,70.291183,32500
-27.296459,58.129128,32517
-36.447182,48.659863,32536
-36.848183,47.376057,32561
-26.488403,58.273655,32581
-13.436655,71.988373,32603
